name,word,word_count
2023_ufc_inova_1,series,6729
2023_ufc_inova_1,link,6729
2023_ufc_inova_1,big,6729
2023_ufc_inova_1,data,6729
2023_ufc_inova_1,blockchain,6729
2023_ufc_inova_1,machine,6729
2023_ufc_inova_1,learning,6729
2023_ufc_inova_1,checkpoint,6729
2023_ufc_inova_1,email,6729
2023_ufc_inova_1_simplificado,online,937
2023_ufc_inova_1_simplificado,coworking,937
2023_ufc_inova_1_simplificado,demolition,937
2023_ufc_inova_1_simplificado,pitch,937
2023_ufc_inova_1_simplificado,link,937
2023_ufc_inova_1_simplificado,code,937
2025_ufc_inova_1,hackathon,5109
2025_ufc_inova_1,checklist,5109
2025_ufc_inova_1,hacker,5109
2025_ufc_inova_1,robotic,5109
2025_ufc_inova_1,process,5109
2025_ufc_inova_1,automation,5109
2025_ufc_inova_1,business,5109
2025_ufc_inova_1,intelligence,5109
2025_ufc_inova_1,designer,5109
2025_ufc_inova_1,hipster,5109
2025_ufc_inova_1,hustler,5109
2025_ufc_inova_1,online,5109
2025_ufc_inova_1,link,5109
2025_ufc_inova_1,vitae,5109
2025_ufc_inova_1,e-mail,5109
2025_ufc_inova_1,pitch,5109
2025_ufc_inova_1,demolition,5109
2025_ufc_inova_1_simplificado,hackathon,860
2025_ufc_inova_1_simplificado,checklist,860
2025_ufc_inova_1_simplificado,designer,860
2025_ufc_inova_1_simplificado,robot,860
2025_ufc_inova_1_simplificado,process,860
2025_ufc_inova_1_simplificado,automation,860
2025_ufc_inova_1_simplificado,business,860
2025_ufc_inova_1_simplificado,inteligence,860
2025_ufc_inova_1_simplificado,online,860
2025_ufc_inova_1_simplificado,pitch,860
2025_ufc_inova_1_simplificado,code,860
2025_ufc_inova_4,startup,6270
2025_ufc_inova_4,spin-off,6270
2025_ufc_inova_4,workshop,6270
2025_ufc_inova_4,pitch,6270
2025_ufc_inova_4,sprint,6270
2025_ufc_inova_4,review,6270
2025_ufc_inova_4,link,6270
2025_ufc_inova_4,big,6270
2025_ufc_inova_4,data,6270
2025_ufc_inova_4,blockchain,6270
2025_ufc_inova_4,design,6270
2025_ufc_inova_4,machine,6270
2025_ufc_inova_4,learning,6270
2025_ufc_inova_4,marketing,6270
2025_ufc_inova_4,email,6270
2025_ufc_inova_4,checkpoint,6270
2025_ufc_inova_4_simplificado,startup,2116
2025_ufc_inova_4_simplificado,coworking,2116
2025_ufc_inova_4_simplificado,spin-off,2116
2025_ufc_inova_4_simplificado,pitch,2116
2025_ufc_inova_4_simplificado,minimum,2116
2025_ufc_inova_4_simplificado,viable,2116
2025_ufc_inova_4_simplificado,product,2116
2025_ufc_inova_4_simplificado,lean,2116
2025_ufc_inova_4_simplificado,startup,2116
2025_ufc_inova_4_simplificado,on-line,2116
2025_ufc_inova_4_simplificado,online,2116
2025_ufc_inova_4_simplificado,link,2116
